Ticker,Date,Total Revenue
AAPL,2020-09-30,
AAPL,2021-09-30,365817000000.0
AAPL,2022-09-30,394328000000.0
AAPL,2023-09-30,383285000000.0
AAPL,2024-09-30,391035000000.0
AMZN,2020-12-31,
AMZN,2021-12-31,469822000000.0
AMZN,2022-12-31,513983000000.0
AMZN,2023-12-31,574785000000.0
AMZN,2024-12-31,637959000000.0
GOOGL,2020-12-31,
GOOGL,2021-12-31,257637000000.0
GOOGL,2022-12-31,282836000000.0
GOOGL,2023-12-31,307394000000.0
GOOGL,2024-12-31,350018000000.0
MSFT,2021-06-30,168088000000.0
MSFT,2022-06-30,198270000000.0
MSFT,2023-06-30,211915000000.0
MSFT,2024-06-30,245122000000.0
NFLX,2021-12-31,29697844000.0
NFLX,2022-12-31,31615550000.0
NFLX,2023-12-31,33723297000.0
NFLX,2024-12-31,39000966000.0
